"Date" "Tem_4m_2p5_AVG" "Tem_4m_12p5_AVG" "Tem_4m_22p5_AVG" "Tem_4m_37p5_AVG" "Tem_4m_52p5_AVG"
2416 13.6462371666667 14.3964402604167 15.162701875 16.1726257291667 17.0565534895833
2417 14.8487447638889 15.1516411805556 15.218865 15.9225428645833 16.9270999479167
2418 12.3684166875 14.0140454166667 15.0559894791667 16.5816983333333 17.8007503125
2419 12.8105012708333 14.3444095833333 15.4723570833333 17.0198657291667 18.3707241145833
2420 14.01625496875 15.2157058854167 16.0274911979167 16.661864375 17.1355759375
2421 15.0577286041667 15.86250734375 16.7588878125 17.7281805729167 18.4807607291667
2422 -9999 -9999 -9999 -9999 -9999
2423 19.5766658854167 19.8042502083333 20.0280564583333 20.3214782291667 20.61330125
2424 13.7084105729167 14.4660211458333 15.1801098958333 16.0488172916667 16.840226875
2425 14.5321538611111 15.3934086805556 15.752855 16.4244519270833 17.1885325
2426 -404.714355263889 -403.296733152778 -402.391365729167 -401.019462083333 -399.861476614583
2427 13.0943227135417 14.6409283333333 15.6592663020833 16.9595871875 18.1324794791667
2428 11.2129030416667 12.9148774375 14.4930653125 15.9303586979167 16.8503779166667
2429 16.3661782760417 16.7344725 17.1789763020833 17.7183703125 18.29184484375
2430 -4159.39928185938 -4159.20383847396 -4158.88859286458 -4157.88083838542 -4156.6727553125
2431 18.8840234322917 19.2557836979167 19.7408118229167 20.23041234375 20.5707909895833
2432 14.3734887239583 14.6999685416667 15.1764475520833 15.9214682291667 16.6835307291667
2433 13.0342819444444 14.2626248472222 15.14895359375 16.2876590104167 17.2155168229167
2434 14.1081474583333 14.8976584722222 15.310821875 16.317415 17.33773109375
2435 13.21404740625 14.7418608333333 15.7001711458333 16.9001970833333 17.9684811979167
2436 10.8803712552083 12.2361711927083 13.6603766666667 15.1425225 16.2941240625
2437 15.9423272916667 16.6194713541667 17.18844015625 17.7814030208333 18.2860013020833
2438 9.95060696354167 10.9015014270833 11.9808425729167 13.8417638020833 15.86741921875
2439 19.7618894791667 19.8648659895833 20.01758015625 20.2494477083333 20.52195796875
2440 14.0883928802083 14.6678807291667 15.19627984375 15.9019231770833 16.6056264583333
2441 12.4607438819444 13.6732619444444 14.5706200520833 15.8506140625 16.9593543229167
2442 12.97727775 14.9449952777778 15.7625247395833 16.6463805729167 17.40781859375
2443 13.13711721875 14.6476133854167 15.6356228125 16.8209380208333 17.82370796875
2444 11.0742215052083 11.9573321927083 13.2114616666667 14.6366700520833 15.8314778645833
2445 14.8420918229167 15.9024867708333 16.7456221875 17.52129359375 18.1391327083333
2446 11.3147813645833 11.7167774270833 12.4042964114583 13.7577053645833 15.4868298958333
2447 17.5816178645833 18.8984565104167 19.6397823958333 20.2135834895833 20.5219852604167
2448 -403.262795786458 -402.523610729167 -401.986221875 -401.372245989583 -400.757496875
2449 12.814274625 13.6297147083333 14.2869500520833 15.5131883333333 16.673158125
2450 9.18330093368056 11.5704984861111 13.5560095833333 15.7455058333333 17.0985706770833
2451 14.0524157291667 15.1335623958333 15.8636750520833 16.8348296875 17.7617125
2452 14.1121747239583 13.82628015625 14.0882811979167 14.76692890625 15.6599627083333
2453 12.0326691927083 13.762161875 15.2122851041667 16.653145 17.6865532291667
