"year" "doy" "hour" "month" "SW"
2010 28 13 1 -9999
2010 28 14 1 -9999
2010 28 15 1 -9999
2010 28 16 1 -9999
2010 28 17 1 -9999
2010 28 18 1 -9999
2010 28 19 1 -9999
2010 28 20 1 -9999
2010 28 21 1 -9999
2010 28 22 1 -9999
2010 28 23 1 -9999
2010 29 0 1 -9999
2010 29 1 1 -9999
2010 29 2 1 -9999
2010 29 3 1 -9999
2010 29 4 1 -9999
2010 29 5 1 -9999
2010 29 6 1 -9999
2010 29 7 1 -9999
2010 29 8 1 -9999
2010 29 9 1 -9999
2010 29 10 1 -9999
2010 29 11 1 -9999
2010 29 12 1 -9999
2010 29 13 1 -9999
2010 29 14 1 -9999
2010 29 15 1 -9999
2010 29 16 1 -9999
2010 29 17 1 -9999
2010 29 18 1 -9999
2010 29 19 1 -9999
2010 29 20 1 -9999
2010 29 21 1 -9999
2010 29 22 1 -9999
2010 29 23 1 -9999
2010 30 0 1 -9999
2010 30 1 1 -9999
2010 30 2 1 -9999
2010 30 3 1 -9999
2010 30 4 1 -9999
2010 30 5 1 -9999
2010 30 6 1 -9999
2010 30 7 1 -9999
2010 30 8 1 -9999
2010 30 9 1 -9999
2010 30 10 1 -9999
2010 30 11 1 -9999
2010 30 12 1 -9999
2010 30 13 1 -9999
2010 30 14 1 -9999
2010 30 15 1 -9999
2010 30 16 1 -9999
2010 30 17 1 -9999
2010 30 18 1 -9999
2010 30 19 1 -9999
2010 30 20 1 -9999
2010 30 21 1 -9999
2010 30 22 1 -9999
2010 30 23 1 -9999
2010 31 0 1 -9999
2010 31 1 1 -9999
2010 31 2 1 -9999
2010 31 3 1 -9999
2010 31 4 1 -9999
2010 31 5 1 -9999
2010 31 6 1 -9999
2010 31 7 1 -9999
2010 31 8 1 -9999
2010 31 9 1 -9999
2010 31 10 1 -9999
2010 31 11 1 -9999
2010 31 12 1 -9999
2010 31 13 1 -9999
2010 31 14 1 -9999
2010 31 15 1 -9999
2010 31 16 1 -9999
2010 31 17 1 -9999
2010 31 18 1 -9999
2010 31 19 1 -9999
2010 31 20 1 -9999
2010 31 21 1 -9999
2010 31 22 1 -9999
2010 31 23 1 -9999
2010 32 0 2 -9999
2010 32 1 2 -9999
2010 32 2 2 -9999
2010 32 3 2 -9999
2010 32 4 2 -9999
2010 32 5 2 -9999
2010 32 6 2 -9999
