days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd	Foliage	Foliage_sd	FoliageNPP	FNPP_sd	Wood	Wood_sd	WoodNPP	WNPP_sd	Root	Root_sd	RootNPP	RNPP_sd	SoilC	SoilC_sd	Phenology	Pheno_sd
1394	0.843601756	-9999	-0.449387784	-9999	0.394213972	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1395	0.844893387	-9999	-0.372652315	-9999	0.472241072	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1401	0.431738629	-9999	-0.03355819	-9999	0.398180439	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1409	0.658306548	-9999	-0.280536286	-9999	0.377770262	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1417	0.14892884	-9999	0.219556915	-9999	0.368485755	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1419	0.178694789	-9999	0.078966727	-9999	0.257661516	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1479	0.125898847	-9999	0.124361676	-9999	0.250260523	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1481	0.17268666	-9999	0.028169947	-9999	0.200856607	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1495	0.212938004	-9999	0.030066038	-9999	0.243004042	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1505	0.206648394	-9999	-0.077321335	-9999	0.129327059	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1509	0.155362637	-9999	0.024483088	-9999	0.179845725	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1526	0.143909424	-9999	0.021121808	-9999	0.165031233	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1544	0.280870866	-9999	-0.138935799	-9999	0.141935068	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1552	0.687880051	-9999	-0.195161332	-9999	0.49271872	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1555	0.69185813	-9999	-0.452508379	-9999	0.239349751	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1557	0.887419713	-9999	-0.415700212	-9999	0.471719501	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1563	0.722045829	-9999	-0.383226092	-9999	0.338819737	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1566	1.009668788	-9999	-0.359965922	-9999	0.649702866	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1567	0.832711331	-9999	-0.504365044	-9999	0.328346288	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1572	0.874749436	-9999	-0.563358959	-9999	0.311390477	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1574	1.180811279	-9999	-0.67276764	-9999	0.508043639	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1588	1.067657764	-9999	-0.640100232	-9999	0.427557532	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1589	1.106361129	-9999	-0.696712342	-9999	0.409648787	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1608	1.011971451	-9999	-0.318636742	-9999	0.693334709	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1611	1.421882156	-9999	-0.307527754	-9999	1.114354402	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1630	0.315092155	-9999	0.349927417	-9999	0.665019572	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1658	1.99177952	-9999	-0.214864704	-9999	1.776914816	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1664	0.732967962	-9999	0.0353133	-9999	0.768281262	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1690	1.09590152	-9999	0.180864878	-9999	1.276766398	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1706	0.182880233	-9999	0.415652787	-9999	0.598533021	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1720	0.199051519	-9999	0.130075414	-9999	0.329126933	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1723	0.070989895	-9999	0.323856941	-9999	0.394846835	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1734	0.155355045	-9999	0.209662623	-9999	0.365017668	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1787	0.131713193	-9999	0.063375225	-9999	0.195088418	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1797	0.151544662	-9999	0.124143449	-9999	0.275688111	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1798	0.104854965	-9999	0.203874062	-9999	0.308729027	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1801	0.06117583	-9999	0.22676252	-9999	0.28793835	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
